number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_n_estimators,state
0,0.4611294692122948,2026-07-08 13:35:22.338673,2026-07-08 13:35:25.675207,0 days 00:00:03.336534,20,sqrt,38,400,COMPLETE
1,0.4429175936795605,2026-07-08 13:35:25.675310,2026-07-08 13:35:28.251716,0 days 00:00:02.576406,4,log2,44,300,COMPLETE
2,0.4583802298370985,2026-07-08 13:35:28.251771,2026-07-08 13:35:30.040732,0 days 00:00:01.788961,20,sqrt,43,200,COMPLETE
3,0.46659566005236,2026-07-08 13:35:30.040780,2026-07-08 13:35:32.540362,0 days 00:00:02.499582,9,sqrt,29,300,COMPLETE
4,0.44979949373829453,2026-07-08 13:35:32.540421,2026-07-08 13:35:37.531810,0 days 00:00:04.991389,6,log2,18,600,COMPLETE
5,0.46091645440645546,2026-07-08 13:35:37.531867,2026-07-08 13:35:42.993365,0 days 00:00:05.461498,7,sqrt,28,700,COMPLETE
6,0.4504494612703314,2026-07-08 13:35:42.993422,2026-07-08 13:35:47.651301,0 days 00:00:04.657879,6,log2,7,600,COMPLETE
7,0.4674494049598993,2026-07-08 13:35:47.651345,2026-07-08 13:35:53.341226,0 days 00:00:05.689881,9,sqrt,9,700,COMPLETE
8,0.4620972289877038,2026-07-08 13:35:53.341271,2026-07-08 13:35:55.163381,0 days 00:00:01.822110,12,sqrt,6,200,COMPLETE
9,0.4614220788592653,2026-07-08 13:35:55.163432,2026-07-08 13:36:00.163682,0 days 00:00:05.000250,9,sqrt,28,600,COMPLETE
10,0.45484327530993063,2026-07-08 13:36:00.163737,2026-07-08 13:36:06.466776,0 days 00:00:06.303039,15,log2,17,800,COMPLETE
11,0.4633136817859992,2026-07-08 13:36:06.466848,2026-07-08 13:36:09.834607,0 days 00:00:03.367759,11,sqrt,30,400,COMPLETE
12,0.46873235790190193,2026-07-08 13:36:09.834659,2026-07-08 13:36:13.154129,0 days 00:00:03.319470,14,sqrt,17,400,COMPLETE
13,0.46757210297908325,2026-07-08 13:36:13.154188,2026-07-08 13:36:17.226073,0 days 00:00:04.071885,14,sqrt,15,500,COMPLETE
14,0.4680269912887992,2026-07-08 13:36:17.226138,2026-07-08 13:36:21.264496,0 days 00:00:04.038358,16,sqrt,17,500,COMPLETE
15,0.4675682600945399,2026-07-08 13:36:21.264553,2026-07-08 13:36:24.538676,0 days 00:00:03.274123,17,sqrt,22,400,COMPLETE
16,0.4700909121207756,2026-07-08 13:36:24.538738,2026-07-08 13:36:28.738239,0 days 00:00:04.199501,17,sqrt,12,500,COMPLETE
17,0.4700909121207756,2026-07-08 13:36:28.738312,2026-07-08 13:36:33.007764,0 days 00:00:04.269452,17,sqrt,12,500,COMPLETE
18,0.45466954749638844,2026-07-08 13:36:33.007835,2026-07-08 13:36:36.930037,0 days 00:00:03.922202,18,log2,12,500,COMPLETE
19,0.4660757561755502,2026-07-08 13:36:36.930097,2026-07-08 13:36:42.195819,0 days 00:00:05.265722,18,sqrt,23,700,COMPLETE
20,0.46800051052279457,2026-07-08 13:36:42.195863,2026-07-08 13:36:46.068094,0 days 00:00:03.872231,13,sqrt,24,500,COMPLETE
21,0.46636806559342703,2026-07-08 13:36:46.068150,2026-07-08 13:36:49.275948,0 days 00:00:03.207798,15,sqrt,13,400,COMPLETE
22,0.4681016613328276,2026-07-08 13:36:49.276000,2026-07-08 13:36:51.767212,0 days 00:00:02.491212,18,sqrt,11,300,COMPLETE
23,0.4637531003465884,2026-07-08 13:36:51.767268,2026-07-08 13:36:55.778967,0 days 00:00:04.011699,16,sqrt,5,500,COMPLETE
24,0.46782517392435663,2026-07-08 13:36:55.779025,2026-07-08 13:37:00.424431,0 days 00:00:04.645406,13,sqrt,20,600,COMPLETE
25,0.4646294914588921,2026-07-08 13:37:00.424485,2026-07-08 13:37:03.617846,0 days 00:00:03.193361,19,sqrt,10,400,COMPLETE
26,0.45736911598114355,2026-07-08 13:37:03.617902,2026-07-08 13:37:06.064402,0 days 00:00:02.446500,16,log2,14,300,COMPLETE
27,0.4678722061066964,2026-07-08 13:37:06.064457,2026-07-08 13:37:09.965952,0 days 00:00:03.901495,14,sqrt,20,500,COMPLETE
28,0.4652139056026859,2026-07-08 13:37:09.966010,2026-07-08 13:37:13.189104,0 days 00:00:03.223094,11,sqrt,9,400,COMPLETE
29,0.4624606778006224,2026-07-08 13:37:13.189160,2026-07-08 13:37:16.364170,0 days 00:00:03.175010,20,sqrt,35,400,COMPLETE
30,0.46792366939288776,2026-07-08 13:37:16.364229,2026-07-08 13:37:20.983660,0 days 00:00:04.619431,17,sqrt,15,600,COMPLETE
31,0.4681016613328276,2026-07-08 13:37:20.983708,2026-07-08 13:37:23.506431,0 days 00:00:02.522723,18,sqrt,11,300,COMPLETE
32,0.454122641171752,2026-07-08 13:37:23.506487,2026-07-08 13:37:25.964490,0 days 00:00:02.458003,19,sqrt,48,300,COMPLETE
33,0.4679350018972774,2026-07-08 13:37:25.964551,2026-07-08 13:37:28.520781,0 days 00:00:02.556230,17,sqrt,8,300,COMPLETE
34,0.4639258457197155,2026-07-08 13:37:28.520841,2026-07-08 13:37:30.272508,0 days 00:00:01.751667,15,sqrt,12,200,COMPLETE
35,0.45306736090365896,2026-07-08 13:37:30.272555,2026-07-08 13:37:33.437565,0 days 00:00:03.165010,18,log2,19,400,COMPLETE
36,0.4640180464989205,2026-07-08 13:37:33.437628,2026-07-08 13:37:37.305330,0 days 00:00:03.867702,19,sqrt,25,500,COMPLETE
37,0.4675924501527953,2026-07-08 13:37:37.305383,2026-07-08 13:37:39.063592,0 days 00:00:01.758209,20,sqrt,17,200,COMPLETE
38,0.4579591061030792,2026-07-08 13:37:39.063656,2026-07-08 13:37:41.537392,0 days 00:00:02.473736,14,log2,14,300,COMPLETE
39,0.45490170610402475,2026-07-08 13:37:41.537453,2026-07-08 13:37:44.040231,0 days 00:00:02.502778,4,sqrt,7,300,COMPLETE
